id,name,createdAt,updatedAt
"cmmi8ira7014sw8in7r7theth","Rize","2026-03-08T20:58:44.768Z","2026-03-08T20:58:44.768Z"
"cmmi8irbm015hw8inkz9s73ee","Sakarya","2026-03-08T20:58:44.818Z","2026-03-08T20:58:44.818Z"
"cmmi8irdf016ew8inzsvz17vj","Samsun","2026-03-08T20:58:44.884Z","2026-03-08T20:58:44.884Z"
"cmmi8irfe017dw8incowokh1j","Siirt","2026-03-08T20:58:44.954Z","2026-03-08T20:58:44.954Z"
"cmmi8irg7017sw8invbjy4xin","Sinop","2026-03-08T20:58:44.983Z","2026-03-08T20:58:44.983Z"
"cmmi8irh7018bw8iny1x4uixz","Sivas","2026-03-08T20:58:45.019Z","2026-03-08T20:58:45.019Z"
"cmmi8irj0019aw8inq1kcimqt","Tekirdağ","2026-03-08T20:58:45.084Z","2026-03-08T20:58:45.084Z"
"cmmi8irk8019xw8inn25ap8bt","Tokat","2026-03-08T20:58:45.128Z","2026-03-08T20:58:45.128Z"
"cmmi8irlf01amw8in7bqmsyni","Trabzon","2026-03-08T20:58:45.172Z","2026-03-08T20:58:45.172Z"
"cmmi8irnb01bnw8insu7oazvn","Tunceli","2026-03-08T20:58:45.240Z","2026-03-08T20:58:45.240Z"
"cmmi8iro601c4w8ingh475zvm","Şanlıurfa","2026-03-08T20:58:45.271Z","2026-03-08T20:58:45.271Z"
"cmmi8irpm01cvw8inpvx4lpe7","Uşak","2026-03-08T20:58:45.323Z","2026-03-08T20:58:45.323Z"
"cmmi8irqe01d8w8inbyex1hzv","Van","2026-03-08T20:58:45.350Z","2026-03-08T20:58:45.350Z"
"cmmi8irrw01dzw8in5d5mfxtz","Yozgat","2026-03-08T20:58:45.405Z","2026-03-08T20:58:45.405Z"
"cmmi8irtd01esw8in0f5qu996","Zonguldak","2026-03-08T20:58:45.457Z","2026-03-08T20:58:45.457Z"
"cmmi8irua01f9w8in3mfq00jw","Aksaray","2026-03-08T20:58:45.490Z","2026-03-08T20:58:45.490Z"
"cmmi8irv801fqw8indwh10wyn","Bayburt","2026-03-08T20:58:45.524Z","2026-03-08T20:58:45.524Z"
"cmmi8irvl01fxw8in5d4lgkg3","Karaman","2026-03-08T20:58:45.538Z","2026-03-08T20:58:45.538Z"
"cmmi8irw901gaw8in1rwegs0h","Kırıkkale","2026-03-08T20:58:45.562Z","2026-03-08T20:58:45.562Z"
"cmmi8irxa01gtw8in03y6uflv","Batman","2026-03-08T20:58:45.599Z","2026-03-08T20:58:45.599Z"
"cmmi8iry001h6w8ink5lm1t43","Şırnak","2026-03-08T20:58:45.625Z","2026-03-08T20:58:45.625Z"
"cmmi8irys01hlw8ino0wrb8il","Bartın","2026-03-08T20:58:45.653Z","2026-03-08T20:58:45.653Z"
"cmmi8irzb01huw8in5dh3f3cd","Ardahan","2026-03-08T20:58:45.672Z","2026-03-08T20:58:45.672Z"
"cmmi8is0001i7w8in6bi7uanw","Iğdır","2026-03-08T20:58:45.697Z","2026-03-08T20:58:45.697Z"
"cmmi8is0i01igw8inojx6na7d","Yalova","2026-03-08T20:58:45.715Z","2026-03-08T20:58:45.715Z"
"cmmi8is1801itw8ind3jhohlk","Karabük","2026-03-08T20:58:45.740Z","2026-03-08T20:58:45.740Z"
"cmmi8is1w01j6w8inmprubnef","Kilis","2026-03-08T20:58:45.765Z","2026-03-08T20:58:45.765Z"
"cmmi8is2d01jfw8injxojytv4","Osmaniye","2026-03-08T20:58:45.782Z","2026-03-08T20:58:45.782Z"
"cmmi8is3a01juw8inr9fh8vqe","Düzce","2026-03-08T20:58:45.815Z","2026-03-08T20:58:45.815Z"
