id,categoryId,images,isActive,createdAt,updatedAt,links,backgroundColor,heroGradientFrom,heroGradientTo,heroGradientVia,isGradient,isTransparent,backgroundImage
cmmuh9lyr000qw8wtw9gpt35r,cmmuh9lxe000pw8wtvcma62f1,"[]",true,2026-03-17T10:36:48.627Z,2026-03-17T10:36:48.627Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuha86m000tw8wtfl4sj5mc,cmmuha85f000sw8wtlz4p5mkj,"[]",true,2026-03-17T10:37:17.423Z,2026-03-17T10:37:17.423Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuheirj000ww8wtyjqorqva,cmmuheiqm000vw8wtf66x6xqd,"[]",false,2026-03-17T10:40:37.759Z,2026-03-17T19:15:32.269Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhf6wb000zw8wttd7etfaz,cmmuhf6v8000yw8wtx3fosjpa,"[]",false,2026-03-17T10:41:09.036Z,2026-03-17T19:05:50.041Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhne4g0002w8qz1d4xgav4,cmmuhne270001w8qzpz47bj8w,"[]",true,2026-03-17T10:47:31.648Z,2026-03-17T10:47:31.648Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuho2yh0005w8qzqs7wtnqy,cmmuho2xm0004w8qzxwdr87b1,"[]",true,2026-03-17T10:48:03.833Z,2026-03-17T10:48:03.833Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhomrg0008w8qz9rylup4o,cmmuhomqi0007w8qz0wmledeh,"[]",true,2026-03-17T10:48:29.500Z,2026-03-17T10:49:46.701Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhp9un000bw8qzlppq26jg,cmmuhp9ts000aw8qzn2frx4s1,"[]",true,2026-03-17T10:48:59.423Z,2026-03-17T10:50:38.013Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhpt44000ew8qzucum2le6,cmmuhpt39000dw8qzgfsdjrdp,"[]",true,2026-03-17T10:49:24.388Z,2026-03-17T10:50:16.197Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhsl9g000hw8qzi0b4xp91,cmmuhsl87000gw8qz5eduhe0o,"[]",false,2026-03-17T10:51:34.181Z,2026-03-17T19:14:29.286Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuht4es000kw8qzo5fxp36p,cmmuht4do000jw8qzaisuuoz5,"[]",true,2026-03-17T10:51:58.997Z,2026-03-17T10:51:58.997Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhtm0y000nw8qzk9jgnokd,cmmuhtlzs000mw8qzzk0gn2dk,"[]",true,2026-03-17T10:52:21.826Z,2026-03-17T10:52:21.826Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhu1qv000qw8qzkxwcd7eh,cmmuhu1pq000pw8qzc9xvj58t,"[]",true,2026-03-17T10:52:42.199Z,2026-03-17T10:52:42.199Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhv8ii000tw8qz4l27s99p,cmmuhv8hq000sw8qz4vbxxv8h,"[]",false,2026-03-17T10:53:37.626Z,2026-03-17T18:55:44.632Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhvpwx000ww8qztzo9mpbl,cmmuhvpvs000vw8qzri4j3c69,"[]",true,2026-03-17T10:54:00.177Z,2026-03-17T18:56:28.793Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhwar1000zw8qzi6fbhmns,cmmuhwaq5000yw8qzo5p0pvgz,"[]",true,2026-03-17T10:54:27.181Z,2026-03-17T10:54:27.181Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhxjoi0012w8qzmqpoccf2,cmmuhxjnf0011w8qzbju5isfr,"[]",true,2026-03-17T10:55:25.410Z,2026-03-17T10:55:25.410Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhyd1h0015w8qz5afwxcjp,cmmuhyd0k0014w8qz9rgwl9zn,"[]",true,2026-03-17T10:56:03.462Z,2026-03-17T11:06:57.255Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhyy010018w8qzhzrt1he8,cmmuhyxyu0017w8qzohu810l8,"[]",true,2026-03-17T10:56:30.625Z,2026-03-17T10:56:30.625Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuhzhra001bw8qzgwj1pqrh,cmmuhzhq4001aw8qzh87lfogt,"[]",true,2026-03-17T10:56:56.230Z,2026-03-17T10:56:56.230Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmui08eg001ew8qzw9g6x253,cmmui08da001dw8qzzg56lrfz,"[]",true,2026-03-17T10:57:30.760Z,2026-03-17T10:57:30.760Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuilep4001hw8qzf393qlh7,cmmuilenx001gw8qzjwtshqi5,"[]",true,2026-03-17T11:13:58.696Z,2026-03-17T11:14:21.848Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuinsya001kw8qzoljtnlma,cmmuinsxe001jw8qzmyw6sfy1,"[]",false,2026-03-17T11:15:50.482Z,2026-03-17T19:31:26.775Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuit4ve001nw8qzwark4kmp,cmmuit4u8001mw8qz16dh45qk,"[]",true,2026-03-17T11:19:59.210Z,2026-03-17T11:19:59.210Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuiuc4t001qw8qzfd2tityh,cmmuiuc3r001pw8qzrit8e2vl,"[]",true,2026-03-17T11:20:55.278Z,2026-03-17T11:33:34.333Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmujd6gb001tw8qzu0p5ypz1,cmmujd6fb001sw8qzrg63n4rh,"[]",true,2026-03-17T11:35:34.379Z,2026-03-17T11:35:34.379Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmujjdd4001ww8qzesh135l4,cmmujjdbz001vw8qz2cvyhgp4,"[]",true,2026-03-17T11:40:23.272Z,2026-03-17T11:40:23.272Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmujk3lt001zw8qzp1kifkus,cmmujk3ku001yw8qzfa7e0l8v,"[]",true,2026-03-17T11:40:57.281Z,2026-03-17T11:40:57.281Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmujn3ix0022w8qzjnveiu6y,cmmujn3hi0021w8qzk89kxsjq,"[]",true,2026-03-17T11:43:17.146Z,2026-03-17T11:43:17.146Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmujoptt0025w8qz3a0665uj,cmmujopsz0024w8qzr29j2dxw,"[]",false,2026-03-17T11:44:32.705Z,2026-03-17T19:04:19.772Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmujpe4s0028w8qzje1tryhn,cmmujpe3o0027w8qzj826xecd,"[]",true,2026-03-17T11:45:04.204Z,2026-03-17T11:45:04.204Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmujqd2r002bw8qzgflwhr5v,cmmujqd1k002aw8qzj4pl1ynk,"[]",true,2026-03-17T11:45:49.491Z,2026-03-17T11:45:49.491Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmujspix002ew8qzd1zqci9z,cmmujsphq002dw8qz7vsra8um,"[]",true,2026-03-17T11:47:38.937Z,2026-03-17T11:47:38.937Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmujtlti002hw8qz1t1w8god,cmmujtlsa002gw8qzoqhwifvt,"[]",true,2026-03-17T11:48:20.790Z,2026-03-17T11:48:20.790Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuju6v5002kw8qzf8aad2l1,cmmuju6u1002jw8qz7o7nv84b,"[]",true,2026-03-17T11:48:48.065Z,2026-03-17T11:48:48.065Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmujvf2o002nw8qz1cueb7nt,cmmujvf1j002mw8qz2dpc1voy,"[]",false,2026-03-17T11:49:45.360Z,2026-03-17T18:53:39.024Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmujx192002qw8qz2l23sdn9,cmmujx17x002pw8qzfrxchmn1,"[]",false,2026-03-17T11:51:00.758Z,2026-03-17T19:04:49.974Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmujy0w9002tw8qzlospdzc4,cmmujy0v8002sw8qzd1zqnk2g,"[]",true,2026-03-17T11:51:46.953Z,2026-03-17T11:51:46.953Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmujz2rg002ww8qzrxoxmhnu,cmmujz2qh002vw8qztkamnj9n,"[]",true,2026-03-17T11:52:36.028Z,2026-03-17T11:52:36.028Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuk6ybe002zw8qzeko16b12,cmmuk6y9x002yw8qzbbumg382,"[]",true,2026-03-17T11:58:43.514Z,2026-03-17T11:58:43.514Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuk83v10032w8qzkt29gcn7,cmmuk83tx0031w8qzcmlq81r0,"[]",true,2026-03-17T11:59:37.358Z,2026-03-17T11:59:37.358Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuk98vp0035w8qz7ziy2dw7,cmmuk98uk0034w8qzdhi9y9sp,"[]",true,2026-03-17T12:00:30.517Z,2026-03-17T12:00:30.517Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
